date & time,pmt_2_5,aqi_2_5,pmt_10,aqi_10,temp_from_humidity,temp_from_pressure,humidity,pressure
2020-04-18 00:01:14.486616,0.7,3,1.4,1,25.32638931274414,28.772916793823242,35.78413391113281,1013.570068359375
2020-04-18 00:02:33.062762,0.7,3,6.0,6,25.32638931274414,28.774999618530273,35.77984619140625,1013.51611328125
2020-04-18 00:03:51.637996,0.8,3,2.7,2,25.27430534362793,28.764583587646484,35.612571716308594,1013.44287109375
2020-04-18 00:05:10.213686,0.5,2,4.0,4,25.32638931274414,28.75,35.664039611816406,1013.5126953125
2020-04-18 00:06:28.791072,0.7,3,2.6,2,25.36111068725586,28.75208282470703,35.9814338684082,1013.51513671875
2020-04-18 00:07:47.366754,0.9,4,6.1,6,25.20486068725586,28.754165649414062,36.3031120300293,1013.50927734375
2020-04-18 00:09:05.906915,0.4,2,1.8,1,25.30902862548828,28.75,35.46245574951172,1013.51025390625
2020-04-18 00:10:24.483138,1.8,8,4.7,4,25.36111068725586,28.75208282470703,36.02861404418945,1013.50341796875
2020-04-18 00:11:43.058714,0.6,2,2.8,2,25.1875,28.739582061767578,35.49247741699219,1013.503173828125
2020-04-18 00:13:01.635427,0.4,2,1.4,1,25.32638931274414,28.739582061767578,35.54823684692383,1013.5126953125
2020-04-18 00:14:20.211644,0.4,2,0.6,0,25.22222137451172,28.714584350585938,36.024322509765625,1013.49267578125
2020-04-18 00:15:38.787125,0.6,2,2.1,2,25.27430534362793,28.722915649414062,35.70264434814453,1013.511962890625
2020-04-18 00:16:57.363115,0.7,3,2.6,2,25.29166603088379,28.72083282470703,31.250587463378906,1013.542724609375
2020-04-18 00:18:15.937079,0.7,3,3.5,3,25.37847137451172,28.722915649414062,34.78478240966797,1013.5517578125
2020-04-18 00:19:34.513011,1.1,5,3.3,3,25.30902862548828,28.71875,36.78348922729492,1013.5234375
2020-04-18 00:20:53.088187,0.6,2,2.8,2,25.22222137451172,28.693750381469727,35.59541702270508,1013.536376953125
2020-04-18 00:22:11.663960,0.8,3,3.6,3,25.20486068725586,28.68958282470703,36.06292724609375,1013.4951171875
2020-04-18 00:23:30.239457,0.6,2,3.1,3,25.22222137451172,28.693750381469727,39.524208068847656,1013.503173828125
2020-04-18 00:24:48.813740,0.7,3,2.1,2,25.1875,28.68541717529297,35.63401794433594,1013.439697265625
2020-04-18 00:26:07.389022,0.5,2,2.1,2,25.29166603088379,28.683334350585938,36.65052795410156,1013.482177734375
2020-04-18 00:27:25.963305,0.3,1,1.7,1,25.22222137451172,28.662500381469727,35.252288818359375,1013.444091796875
2020-04-18 00:28:44.538668,0.5,2,1.6,1,25.22222137451172,28.641666412353516,35.64688491821289,1013.41796875
2020-04-18 00:30:03.114293,1.3,5,3.6,3,25.23958396911621,28.639583587646484,35.86562728881836,1013.42724609375
2020-04-18 00:31:21.689677,0.7,3,4.7,4,25.29166603088379,28.625,35.83560562133789,1013.438232421875
2020-04-18 00:32:40.209143,0.6,2,1.4,1,25.27430534362793,28.633333206176758,35.52250289916992,1013.408447265625
2020-04-18 00:33:58.774223,0.4,2,2.8,2,25.15277862548828,28.62708282470703,35.27802658081055,1013.4033203125
2020-04-18 00:35:17.346544,0.6,2,2.4,2,25.13541603088379,28.616666793823242,36.251644134521484,1013.371826171875
2020-04-18 00:36:35.864829,0.4,2,1.5,1,25.1875,28.620834350585938,35.77126693725586,1013.38427734375
2020-04-18 00:37:54.426075,0.4,2,1.7,1,25.25694465637207,28.616666793823242,30.79594612121582,1013.475341796875
2020-04-18 00:39:12.974208,0.8,3,3.8,3,25.17013931274414,28.59166717529297,35.308048248291016,1013.41552734375
2020-04-18 00:40:31.514578,0.4,2,1.6,1,24.99652862548828,28.579166412353516,36.521854400634766,1013.449462890625
2020-04-18 00:41:50.030612,0.5,2,1.4,1,25.20486068725586,28.583332061767578,35.6383056640625,1013.457275390625
2020-04-18 00:43:08.606061,0.7,3,3.4,3,25.15277862548828,28.575000762939453,35.37238311767578,1013.47509765625
2020-04-18 00:44:27.181350,0.9,4,4.4,4,25.17013931274414,28.581249237060547,35.252288818359375,1013.483154296875
2020-04-18 00:45:45.756981,0.7,3,4.4,4,25.22222137451172,28.59583282470703,35.170799255371094,1013.5087890625
2020-04-18 00:47:04.331237,1.2,5,3.3,3,25.13541603088379,28.59375,35.63401794433594,1013.52001953125
2020-04-18 00:48:22.903440,0.5,2,3.0,3,25.29166603088379,28.556249618530273,35.38096237182617,1013.48828125
2020-04-18 00:49:41.474099,0.6,2,2.5,2,25.08333396911621,28.50208282470703,39.87590789794922,1013.5224609375
2020-04-18 00:51:00.050196,0.7,3,8.0,7,25.10069465637207,28.454166412353516,35.53965759277344,1013.506591796875
2020-04-18 00:53:30.803741,0.8,3,4.7,4,25.04861068725586,28.412500381469727,37.43113708496094,1013.493408203125
